symbol,calculation_timestamp,data_quality,trading_days,data_start_date,data_end_date,max_drawdown_3y,max_drawdown_peak_date,max_drawdown_trough_date,max_drawdown_recovery_days,max_drawdown_recovered,current_drawdown,sortino_ratio,calmar_ratio,var_95_daily,cvar_95_daily,var_95_monthly,cvar_95_monthly,beta,upside_capture,downside_capture,volatility_1y,volatility_3y,meets_mdd_threshold
ABBV,2026-01-26T10:31:34.699845,COMPLETE,1254,2021-01-26,2026-01-23,-0.21920253917873433,2022-04-08,2022-09-30,467.0,True,-0.08886950018696242,1.2697,1.2859,-0.0198,-0.0351,,,0.347,0.377,0.2,0.2664353883604902,0.2264426827270057,True
ACGL,2026-01-26T10:31:34.711143,COMPLETE,1254,2021-01-26,2026-01-23,-0.22431789049624612,2024-10-04,2025-10-28,,False,-0.14887383263138623,1.6023,1.4238,-0.0246,-0.0345,,,0.557,0.584,0.398,0.2416831433549449,0.24530558795143068,True
ADP,2026-01-26T10:31:34.728413,COMPLETE,1254,2021-01-26,2026-01-23,-0.23012786609837288,2025-06-06,2025-11-20,,False,-0.19774134337180724,1.1067,0.9752,-0.0203,-0.0315,,,0.763,0.737,0.712,0.201526114252914,0.21104670993087865,True
AEE,2026-01-26T10:31:34.735204,COMPLETE,1254,2021-01-26,2026-01-23,-0.2745365631752531,2022-04-20,2024-02-08,277.0,True,-0.030968841746377592,1.1974,0.7627,-0.0185,-0.0281,,,0.361,0.344,0.282,0.16423032829289114,0.1920906913596885,True
AEP,2026-01-26T10:31:34.738604,COMPLETE,1254,2021-01-26,2026-01-23,-0.2956110154905335,2022-09-12,2023-10-05,299.0,True,-0.05768764644097924,1.3174,0.751,-0.0196,-0.0279,,,0.323,0.348,0.261,0.19361766182959889,0.19810826539237472,True
AFL,2026-01-26T10:31:34.745369,COMPLETE,1254,2021-01-26,2026-01-23,-0.19852820932134096,2022-04-20,2022-06-16,138.0,True,-0.06398042129184506,1.5746,1.4755,-0.0207,-0.0302,,,0.599,0.611,0.471,0.20686539719062416,0.20994299668819158,True
AIG,2026-01-26T10:31:34.748753,COMPLETE,1254,2021-01-26,2026-01-23,-0.2644915534945347,2023-01-06,2023-03-23,224.0,True,-0.16479963044231447,1.081,0.9566,-0.027,-0.0399,,,0.823,0.785,0.708,0.25832961135669147,0.2700027480870861,True
ALL,2026-01-26T10:31:34.769236,COMPLETE,1254,2021-01-26,2026-01-23,-0.2734997344662772,2023-01-06,2023-07-14,139.0,True,-0.0935686201085938,1.0804,0.9031,-0.0218,-0.0358,,,0.537,0.551,0.456,0.256901345071153,0.25209108445077005,True
AME,2026-01-26T10:31:34.786289,COMPLETE,1254,2021-01-26,2026-01-23,-0.2705677464298155,2021-12-29,2022-06-17,234.0,True,-0.005317231434751164,1.3814,0.917,-0.0201,-0.0296,,,0.839,0.844,0.798,0.22847519347882522,0.2133389705731711,True
AMGN,2026-01-26T10:31:34.789697,COMPLETE,1254,2021-01-26,2026-01-23,-0.2486261133219633,2022-11-08,2023-06-01,132.0,True,-0.006684530498170378,1.0173,0.8365,-0.0207,-0.033,,,0.443,0.528,0.478,0.2809605874112419,0.23456064609083216,True
AON,2026-01-26T10:31:34.806839,COMPLETE,1254,2021-01-26,2026-01-23,-0.2537981719367588,2022-04-11,2022-06-16,306.0,True,-0.16724447394949715,1.0586,0.8626,-0.0199,-0.0324,,,0.614,0.6,0.553,0.21692747315269806,0.22451427181296707,True
APH,2026-01-26T10:31:34.820105,COMPLETE,1254,2021-01-26,2026-01-23,-0.28723153174415855,2021-12-29,2022-06-16,405.0,True,-0.023350582147477265,1.8948,1.4861,-0.0236,-0.0389,,,1.201,1.359,1.177,0.36285433898913555,0.27416141077406553,True
ATO,2026-01-26T10:31:34.840445,COMPLETE,1254,2021-01-26,2026-01-23,-0.19077005634558625,2022-04-20,2022-10-14,271.0,True,-0.07200987820620747,1.6087,1.3218,-0.0194,-0.0267,,,0.371,0.386,0.27,0.16584824858530475,0.18853494190701053,True
AZO,2026-01-26T10:31:34.863943,COMPLETE,1254,2021-01-26,2026-01-23,-0.25481910833291227,2025-09-11,2026-01-06,,False,-0.15031208807359675,1.6671,1.2859,-0.0221,-0.0339,,,0.469,0.503,0.289,0.23381000216190836,0.23739290375506295,True
BR,2026-01-26T10:31:34.921478,COMPLETE,1254,2021-01-26,2026-01-23,-0.2700835848618528,2021-12-27,2022-06-17,56.0,True,-0.21603142824764862,0.9807,0.7436,-0.0212,-0.033,,,0.801,0.753,0.751,0.21710030479986567,0.22380790382996163,True
BRK-B,2026-01-26T10:31:34.924807,COMPLETE,1254,2021-01-26,2026-01-23,-0.2657897075380928,2022-03-28,2022-10-12,299.0,True,-0.1126898851426453,1.8058,0.9508,-0.0166,-0.0234,,,0.646,0.635,0.558,0.18411582983877622,0.1727701819830624,True
BSX,2026-01-26T10:31:34.931829,COMPLETE,1254,2021-01-26,2026-01-23,-0.2518046391424475,2022-04-20,2022-06-14,181.0,True,-0.14453486221564635,1.5324,1.1442,-0.021,-0.032,,,0.699,0.654,0.519,0.24171113967641647,0.2252766207022132,True
CAH,2026-01-26T10:31:34.949630,COMPLETE,1254,2021-01-26,2026-01-23,-0.24675090252707585,2021-05-04,2021-12-01,128.0,True,-0.024489604794905365,1.9156,1.5999,-0.0216,-0.0338,,,0.419,0.517,0.249,0.2708403196895053,0.2478393199719205,True
CB,2026-01-26T10:31:34.960089,COMPLETE,1254,2021-01-26,2026-01-23,-0.1926170251219953,2023-01-26,2023-06-28,152.0,True,-0.045306005901202366,1.4983,1.3523,-0.0211,-0.0291,,,0.484,0.508,0.389,0.19980044380468145,0.2087776730314226,True
CBOE,2026-01-26T10:31:34.963465,COMPLETE,1254,2021-01-26,2026-01-23,-0.2177837074242662,2021-11-02,2022-05-18,315.0,True,-0.0026342378752887492,1.9622,1.5044,-0.0211,-0.03,,,0.223,0.363,0.129,0.2177568486439975,0.22584670019011935,True
CDNS,2026-01-26T10:31:34.977127,COMPLETE,1254,2021-01-26,2026-01-23,-0.2958518068098661,2021-12-27,2022-02-18,178.0,True,-0.1474408763425021,0.9754,0.9369,-0.0352,-0.0494,,,1.418,1.545,1.536,0.38924712582588,0.3531388899719343,True
