symbol,company_name,sector,industry,market_cap,sortino_ratio,calmar_ratio,max_drawdown_3y,sharpe_3y,return_3y,roe,roic,operating_margin,fcf_yield,pe_ratio,debt_to_equity,beta,dividend_yield,current_ratio,in_smart_money,risk_adj_score,mdd_score,fundamental_score,valuation_score,sec_score,composite_score,rank
HIG,"The Hartford Financial Services Group, Inc.",Financial Services,Insurance - Diversified,35839963000.0,1.6878,1.6724,-0.1863824917751393,0.8552,0.2245011411280106,0.205489539265655,0.2591405680990531,0.1595740841003429,0.1643695893324443,,0.2368563685636856,,,17.791530944625407,False,67.39,75.75,88.82,100.0,50,78.78,1
CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,119969898474.0,1.4983,1.3523,-0.1926170251219953,0.4282,0.1276362418689967,0.142806008922608,6.730486991327552,0.211135151711331,0.1110361863220792,,0.2397327952125809,,,0.0,True,54.53,71.59,76.34,100.0,60,72.18,2
COR,"Cencora, Inc.",Healthcare,Medical - Distribution,68572645640.0,2.0518,1.9331,-0.1783674221485166,1.3341,0.2986818288242032,1.31496697393133,0.134076103870308,0.0113517163025915,0.0467699469674421,,5.080024190676642,,,0.9034691461454554,False,83.37,81.09,52.7,70.15,50,69.38,3
CBOE,"Cboe Global Markets, Inc.",Financial Services,Financial - Data & Stock Exchanges,28943626127.0,1.9622,1.5044,-0.2177837074242662,1.4052,0.329524621210971,0.2150784664445866,0.138811357805165,0.2949023344449738,0.0396322145320254,,0.3264549939609818,,,1.7175379813650342,False,75.86,54.81,85.66,59.45,50,69.28,4
HWM,Howmet Aerospace Inc.,Industrials,Industrial - Machinery,86493225000.0,2.5585,2.4953,-0.2320567375886524,2.4185,0.782027375128489,0.2969638011366545,0.1693048874013578,0.2520376175548589,0.0122321719417908,,0.6200661092747424,,,2.3532307692307692,False,100.0,45.3,94.1,18.35,50,68.99,5
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance - Property & Casualty,61949173558.0,1.3558,1.3666,-0.1889894592117324,0.5635,0.1692094003508395,0.1922560795993846,0.114715328031295,0.152822822202483,0.1611805198765328,,0.2817231105976774,,,0.2337145536016048,False,53.25,74.01,66.74,100.0,50,68.76,6
IBM,International Business Machines Corporation,Technology,Information Technology Services,273353963643.0,1.6596,1.6455,-0.1982142857142857,1.1578,0.3243893387622092,0.2885740093612284,0.0794021266219622,0.1744900767560625,0.0477000582915597,,2.3855581437018456,,,0.931648739400148,False,69.45,67.86,68.44,71.55,50,67.44,7
VLTO,Veralto Corporation,Industrials,Industrial - Pollution & Treatment Controls,25155004022.0,2.2153,1.7222,-0.2472556657223795,,,0.3711382113821138,0.1639511682930694,0.2327586206896551,0.0391969724647098,,0.9385317878468564,,,1.568483063328424,False,70.14,35.16,90.21,58.8,50,65.63,8
MCK,McKesson Corporation,Healthcare,Medical - Distribution,102023806569.0,2.1662,1.7266,-0.2390731543731336,1.1065,0.3006157102364779,-1.8199458483754511,0.2167323292086284,0.0124698393671821,0.0626618454554166,,-5.630822311673375,,,0.8802898678543605,False,80.29,40.62,40.96,93.99,50,64.22,9
SNA,Snap-on Incorporated,Industrials,Manufacturing - Tools & Accessories,19253499867.0,1.3404,1.1891,-0.2303800809431638,0.6441,0.1945670640131165,0.1807264334904273,0.1394571781943441,0.2580443367087617,0.0533149820599315,,0.2186114452655095,,,4.399378009630818,False,51.09,46.41,83.39,79.97,50,64.13,10
GILD,"Gilead Sciences, Inc.",Healthcare,Drug Manufacturers - General,168645581154.0,1.6036,1.068,-0.2659065833026847,0.7022,0.2183017013575365,0.4069906030837944,0.1754718938016466,0.360654610465516,0.0543269496734317,,1.1578922934076137,,,1.4535252500609903,False,55.11,22.73,90.34,81.49,50,63.83,11
VICI,VICI Properties Inc.,Real Estate,REIT - Diversified,30503876528.0,1.0476,1.0444,-0.186141304347826,-0.2183,0.0046030555436467,0.1033081093928328,0.0798601482689855,0.9241559754374142,0.0806802374033003,,0.6388819679297831,,,32.202431122918064,False,36.62,75.91,65.25,100.0,50,63.68,12
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,530382223754.0,1.3693,1.0919,-0.184133085099994,0.4628,0.1248146940514196,0.3488412195907583,0.1419601968052418,0.271739938211969,0.0359438894182136,,0.5776580849426693,,,1.073561501110696,False,48.39,77.24,86.19,53.92,50,63.43,13
RSG,"Republic Services, Inc.",Industrials,Waste Management,67941281761.0,1.8279,1.3925,-0.2049689440993788,1.143,0.2289012719365111,0.1793611270722935,0.0896224374597171,0.2014301296812507,0.0372292063740831,,1.137730603992924,,,0.5826882477128783,False,68.88,63.35,66.85,55.84,50,63.05,14
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,313651265536.0,1.6195,1.2873,-0.1729145558932793,0.3829,0.1013878467496918,0.4700514022905582,0.1371171318651273,0.3069466882067851,0.0177585765212246,,1.5174576759368898,,,1.2110316014045068,True,55.53,84.72,83.14,26.64,60,61.48,15
APH,Amphenol Corporation,Technology,"Hardware, Equipment & Parts",184820141153.0,1.8948,1.4861,-0.2872315317441585,1.9026,0.5890406108905979,0.3463183845121995,0.1852751919982003,0.2463859327917,0.0192451968590127,,0.6443216216863813,,,2.069536589849429,False,79.21,8.51,96.01,28.87,50,59.82,16
MO,"Altria Group, Inc.",Consumer Defensive,Tobacco,103926555784.0,1.2275,1.0083,-0.258295535927429,0.8851,0.2087671770661503,-3.045150214592274,0.3275288750127275,0.5519190717048498,0.088408587494194,,-9.71315192743764,,,0.6177890417571807,False,48.53,27.8,63.09,100.0,50,59.5,17
ED,"Consolidated Edison, Inc.",Utilities,Regulated Electric,37490381603.0,1.4802,1.031,-0.22025705811271,0.173,0.0762696710935173,0.0869017497784752,0.0347695454699361,0.1782184185149469,0.0904765397140841,,1.103732207878186,,,1.0750147666863556,False,46.8,53.16,48.75,100.0,50,59.2,18
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,569190842922.0,1.763,1.7504,-0.2050064738886491,0.2569,0.1037654837416879,0.1141524363578158,0.0669022140669087,0.109896468097155,0.0417698216611296,,0.1613288251119699,,,1.1368657675016056,False,64.08,63.33,50.94,62.65,50,58.99,19
KMI,"Kinder Morgan, Inc.",Energy,Oil & Gas Midstream,65786164732.0,1.5027,1.4421,-0.2035024154589371,0.8845,0.2300904054283479,0.0889388973142214,0.0522876718644856,0.2799073679078554,0.0418477047752393,,1.0598568640208197,,,0.6307852314092564,False,60.53,64.33,51.83,62.77,50,58.32,20
