Rank,Ticker,Company,10-K_URL,10-Q_URL,Form4_URL,13F_URL,Price_History_URL,Analyst_Ratings_URL
1,HIG,"The Hartford Financial Services Group, Inc.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HIG&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/HIG/history/,https://finance.yahoo.com/quote/HIG/analysis/
2,CB,Chubb Limited,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CB&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/CB/history/,https://finance.yahoo.com/quote/CB/analysis/
3,COR,"Cencora, Inc.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COR&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/COR/history/,https://finance.yahoo.com/quote/COR/analysis/
4,CBOE,"Cboe Global Markets, Inc.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CBOE&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/CBOE/history/,https://finance.yahoo.com/quote/CBOE/analysis/
5,HWM,Howmet Aerospace Inc.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HWM&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HWM&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HWM&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HWM&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/HWM/history/,https://finance.yahoo.com/quote/HWM/analysis/
6,TRV,"The Travelers Companies, Inc.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/TRV/history/,https://finance.yahoo.com/quote/TRV/analysis/
7,IBM,International Business Machines Corporation,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/IBM/history/,https://finance.yahoo.com/quote/IBM/analysis/
8,VLTO,Veralto Corporation,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLTO&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLTO&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLTO&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLTO&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/VLTO/history/,https://finance.yahoo.com/quote/VLTO/analysis/
9,MCK,McKesson Corporation,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/MCK/history/,https://finance.yahoo.com/quote/MCK/analysis/
10,SNA,Snap-on Incorporated,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/SNA/history/,https://finance.yahoo.com/quote/SNA/analysis/
11,GILD,"Gilead Sciences, Inc.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/GILD/history/,https://finance.yahoo.com/quote/GILD/analysis/
12,VICI,VICI Properties Inc.,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VICI&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VICI&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VICI&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VICI&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/VICI/history/,https://finance.yahoo.com/quote/VICI/analysis/
13,JNJ,Johnson & Johnson,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/JNJ/history/,https://finance.yahoo.com/quote/JNJ/analysis/
14,RSG,"Republic Services, Inc.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RSG&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RSG&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RSG&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RSG&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/RSG/history/,https://finance.yahoo.com/quote/RSG/analysis/
15,KO,The Coca-Cola Company,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/KO/history/,https://finance.yahoo.com/quote/KO/analysis/
16,APH,Amphenol Corporation,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APH&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/APH/history/,https://finance.yahoo.com/quote/APH/analysis/
17,MO,"Altria Group, Inc.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/MO/history/,https://finance.yahoo.com/quote/MO/analysis/
18,ED,"Consolidated Edison, Inc.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ED&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/ED/history/,https://finance.yahoo.com/quote/ED/analysis/
19,XOM,Exxon Mobil Corporation,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/XOM/history/,https://finance.yahoo.com/quote/XOM/analysis/
20,KMI,"Kinder Morgan, Inc.",https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI&type=10-K&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI&type=10-Q&dateb=&owner=include&count=10,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI&type=4&dateb=&owner=include&count=40,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI&type=13F&dateb=&owner=include&count=10,https://finance.yahoo.com/quote/KMI/history/,https://finance.yahoo.com/quote/KMI/analysis/
