rank,ticker,company,sector,industry,elite_score,moat_score,quality_score,valuation_score,smart_money_score,risk_adj_score,market_cap_bn,current_price,pe_ratio,fcf_yield,roe,roic,debt_to_equity,mdd_3y,sortino_3y,sharpe_3y,dividend_yield,top_institutions,institution_count,catalyst,target_position_pct,ideal_entry_price,kill_switch
1,CB,Chubb Limited,Financial Services,Insurance - Property & Casualty,94,8,9,8,10,10,120.0,300.91,12.5,11.1,14.3,6.7,0.24,-19.3,1.50,0.43,1.4,Berkshire Hathaway,1,Premium cycle upswing,6,280,Combined Ratio >100% for 2 consecutive quarters
2,GOOGL,Alphabet Inc,Technology,Internet Content & Information,92,10,9,7,10,8,2100.0,327.93,25.8,4.8,22.2,22.9,0.07,-44.6,1.59,1.59,0,Berkshire/Pershing/Baupost/Appaloosa/Third Point,5+,AI monetization acceleration,6,300,Search share drops below 80% or antitrust forced breakup
3,KO,Coca-Cola,Consumer Defensive,Beverages - Non-Alcoholic,91,10,9,7,10,9,313.7,72.88,27.5,1.78,47.0,13.7,1.52,-17.3,1.62,0.38,2.7,Berkshire Hathaway,1,Emerging markets expansion,5,68,Global brand share declines >2% for 3 consecutive years
4,V,Visa Inc,Financial Services,Credit Services,89,10,9,8,9,8,550.0,326.18,31.5,3.2,45.0,28.5,0.55,-28.0,1.45,1.35,0.8,Berkshire/ValueAct,2,Cross-border travel recovery,5,300,US regulatory forced fee reduction
5,AMZN,Amazon.com,Consumer Discretionary,Internet Retail,88,9,8,6,9,8,2200.0,239.16,45.0,2.5,15.1,11.2,0.81,-44.0,1.55,1.50,0,Appaloosa/Third Point/ValueAct,3+,AWS growth rebound,5,220,AWS share declines for 4 consecutive quarters
6,AXP,American Express,Financial Services,Credit Services,87,8,9,7,10,8,190.0,317.50,20.5,4.5,33.5,18.5,1.85,-32.0,1.25,0.95,1.2,Berkshire Hathaway,1,Business travel recovery,5,290,High-end customer base erosion
7,MCO,Moodys Corp,Financial Services,Credit Rating,86,10,9,6,10,7,85.0,467.00,35.0,3.5,58.0,42.0,2.50,-28.0,1.30,1.15,0.9,Berkshire Hathaway,1,Bond issuance volume recovery,4,430,Rating market disruption or regulatory change
8,JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,85,8,9,7,8,8,530.0,220.14,18.5,3.6,34.9,14.2,0.58,-18.4,1.37,0.46,2.5,Multiple N-PORT Funds,7,Pipeline catalysts and litigation resolution,5,200,Major drug patent cliff without replacement
9,META,Meta Platforms,Technology,Internet Content & Information,84,9,9,7,8,8,1500.0,658.76,28.0,6.5,22.2,22.9,0.21,-38.0,1.40,1.35,0,ValueAct/Appaloosa/Renaissance,3,Reels monetization and AI efficiency,5,600,Core DAU declines for 4 consecutive quarters
10,UNH,UnitedHealth Group,Healthcare,Healthcare Plans,83,8,8,7,8,7,380.0,356.26,15.5,5.0,25.0,18.0,0.75,-45.0,1.10,0.85,1.5,Multiple N-PORT Funds,7,Medicare Advantage penetration,4,350,Major healthcare reform legislation
11,HIG,Hartford Financial,Financial Services,Insurance - Diversified,82,7,9,10,5,10,35.8,128.62,10.5,16.4,20.5,25.9,0.24,-18.6,1.69,0.86,2.1,-,0,Premium pricing cycle,4,120,Financial system risk event
12,CBOE,Cboe Global Markets,Financial Services,Financial Data & Stock Exchanges,81,8,9,6,5,9,28.9,276.39,28.0,4.0,21.5,13.9,0.33,-21.8,1.96,1.41,1.3,-,0,Options market expansion,4,260,Exchange competition or regulatory change
13,PG,Procter & Gamble,Consumer Defensive,Household Products,80,9,8,6,8,8,385.0,150.15,28.0,2.8,32.0,18.0,0.70,-22.0,1.35,0.95,2.4,Multiple N-PORT Funds,6,Pricing power and emerging markets,4,140,Consumer brand preference shift
14,HD,Home Depot,Consumer Discretionary,Home Improvement Retail,79,8,8,6,8,7,385.0,383.77,22.0,3.5,45.0,28.0,25.00,-35.0,1.20,0.85,2.5,Multiple N-PORT Funds,6,Rate cuts stimulating housing,4,360,Housing market crash
15,HWM,Howmet Aerospace,Industrials,Industrial Machinery,78,7,9,5,5,10,86.5,214.89,30.0,1.2,29.7,16.9,0.62,-23.2,2.56,2.42,0.3,-,0,Aviation order backlog,3,200,Major aviation industry downturn
16,TRV,Travelers Companies,Financial Services,Insurance - Property & Casualty,77,7,8,10,5,8,61.9,277.72,11.0,16.1,19.2,11.5,0.28,-18.9,1.36,0.56,2.0,-,0,Premium hardening cycle,3,260,Financial system risk event
17,IBM,IBM,Technology,Information Technology Services,76,6,8,7,5,8,273.4,292.44,22.0,4.8,28.9,7.9,2.39,-19.8,1.66,1.16,3.2,-,0,AI consulting demand,3,270,Cloud/AI transition failure
18,RSG,Republic Services,Industrials,Waste Management,75,8,7,6,5,8,67.9,217.61,30.0,3.7,17.9,9.0,1.14,-20.5,1.83,1.14,1.2,-,0,Pricing power and M&A,3,200,Environmental regulation change
19,GILD,Gilead Sciences,Healthcare,Drug Manufacturers - General,74,7,9,8,5,7,168.6,135.93,12.0,5.4,40.7,17.5,1.16,-26.6,1.60,0.70,3.5,-,0,New drug approvals,3,125,HIV drug competition or pipeline failure
20,CVX,Chevron,Energy,Oil & Gas Integrated,73,6,7,8,8,8,280.0,166.72,14.0,5.5,11.4,6.7,0.16,-25.0,1.45,1.25,4.2,Berkshire Hathaway,1,Oil price cycle,3,150,Major oil price collapse below $50
