ticker,data_quality,data_start,data_end,months_analyzed,sharpe,sortino,mdd,mdd_peak_date,mdd_trough_date,calmar,var_95,cvar_95,cagr,annual_vol,rolling_sharpe_mean,rolling_sharpe_std,rolling_sharpe_min,sharpe_consistency,sharpe_score,sortino_score,calmar_score,mdd_score,var_cvar_score,risk_adjusted_score,tier
AAPL,COMPLETE,2021-01-04,2026-01-23,60,0.39586855264851734,0.8825038076156777,-0.33360522795120856,2024-12-26,2025-04-08,0.4216103272387859,-0.0891008823035402,-0.11346003039567365,0.1406514093250788,0.24920244021673812,0.45252695489625816,0.24141506867922852,0.1770276455861636,0.04,0.0,12.0,0.0,10.05,6.0,28.05,TIER_3_EXCLUDED
ABBV,COMPLETE,2021-01-04,2026-01-23,60,0.7607147959757673,1.4272270527525488,-0.21915469460626147,2022-04-08,2022-09-30,0.9569244374548852,-0.08765500495007988,-0.10270810991284929,0.20971448285169392,0.22046959483227466,0.6349586466617185,0.19243997347009675,0.29383905817330863,0.04,0.0,18.0,15.0,15.0,6.0,54.0,TIER_3_EXCLUDED
ABT,COMPLETE,2021-01-04,2026-01-23,60,-0.25514411387045816,-0.48734107340474503,-0.33876765021938177,2021-12-27,2023-10-12,-0.028712714038650885,-0.0768326040451348,-0.10310785698356635,-0.009726938666294815,0.2027361630319939,-0.050431329884458975,0.2626381495678793,-0.49696469919738206,0.0,0.0,0.0,0.0,10.05,10.0,20.05,TIER_3_EXCLUDED
ADBE,COMPLETE,2021-01-04,2026-01-23,60,-0.34297691440784145,-0.6151992586747514,-0.6002149800846833,2021-11-19,2022-09-30,-0.13460262476936793,-0.13818389409318946,-0.1854317608408654,-0.08079051174529228,0.358013926264668,-0.15436067610205784,0.1321018227851372,-0.35168345877705165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
AMAT,COMPLETE,2021-01-04,2026-01-23,60,0.6254032371805172,1.331009806488821,-0.551392008915951,2022-01-14,2022-10-17,0.5139898285222296,-0.12224478607837026,-0.17203839089117987,0.28340988411123735,0.3860067709268292,0.4075901461214751,0.31830489271964096,-0.05665896914596493,0.08,0.0,18.0,10.0,0.0,0.0,28.0,TIER_3_EXCLUDED
AMC,COMPLETE,2021-01-04,2026-01-23,60,-0.5124154546977144,-1.1129839206493457,-0.9976818544401539,2021-06-02,2026-01-08,-0.5901082062505552,-0.3966091991208793,-0.5313704989871612,-0.5887402495324067,1.2309157418066066,-0.7935590255793702,0.1514708007420865,-0.9327946223935561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
AMD,COMPLETE,2021-01-04,2026-01-23,60,0.3598016369853898,0.8774844726025885,-0.654499429550688,2021-11-29,2022-10-14,0.37952056854009747,-0.20663616865670914,-0.24018757557650308,0.24839599561224657,0.5736382895351516,0.28680566783011086,0.33799097678147205,-0.20332293167190962,0.04,0.0,12.0,0.0,0.0,0.0,12.0,TIER_3_EXCLUDED
AMT,COMPLETE,2021-01-04,2026-01-23,60,-0.2307927430067471,-0.43639172757743117,-0.4534421603968881,2021-09-08,2023-10-04,-0.04097211174235942,-0.11510900658721472,-0.13966645695808302,-0.018578482864478163,0.2624800159453332,-0.2891934458283982,0.10525560328473206,-0.5471307665838446,0.0,0.0,0.0,0.0,4.95,0.0,4.95,TIER_3_EXCLUDED
AMZN,COMPLETE,2021-01-04,2026-01-23,60,0.13326352043322845,0.24918114278357067,-0.5614526325328263,2021-07-08,2022-12-28,0.14835112880232967,-0.10901375622406637,-0.16129288610780682,0.08329213180528439,0.3098532266823445,0.33640268759561104,0.4525251667108673,-0.15077393479303777,0.16,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
ARKK,COMPLETE,2021-01-04,2026-01-23,60,-0.32970782349877076,-0.674169744705361,-0.809141075842511,2021-02-12,2022-12-28,-0.12116476421442442,-0.14594122284044678,-0.21936005447549356,-0.09803938767066356,0.4247378366233571,-0.17492896253471976,0.5455497199796961,-0.7708131877949316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TIER_3_EXCLUDED
