ticker,sharpe,rolling_sharpe_mean,rolling_sharpe_std,rolling_sharpe_min,sharpe_consistency,data_quality,months_analyzed
AAPL,0.39586855264851734,0.45252695489625816,0.24141506867922852,0.1770276455861636,0.04,COMPLETE,60
ABBV,0.7607147959757673,0.6349586466617185,0.19243997347009675,0.29383905817330863,0.04,COMPLETE,60
ABT,-0.25514411387045816,-0.050431329884458975,0.2626381495678793,-0.49696469919738206,0.0,COMPLETE,60
ADBE,-0.34297691440784145,-0.15436067610205784,0.1321018227851372,-0.35168345877705165,0.0,COMPLETE,60
AMAT,0.6254032371805172,0.4075901461214751,0.31830489271964096,-0.05665896914596493,0.08,COMPLETE,60
AMC,-0.5124154546977144,-0.7935590255793702,0.1514708007420865,-0.9327946223935561,0.0,COMPLETE,60
AMD,0.3598016369853898,0.28680566783011086,0.33799097678147205,-0.20332293167190962,0.04,COMPLETE,60
AMT,-0.2307927430067471,-0.2891934458283982,0.10525560328473206,-0.5471307665838446,0.0,COMPLETE,60
AMZN,0.13326352043322845,0.33640268759561104,0.4525251667108673,-0.15077393479303777,0.16,COMPLETE,60
ARKK,-0.32970782349877076,-0.17492896253471976,0.5455497199796961,-0.7708131877949316,0.0,COMPLETE,60
ASML,0.44986833827949796,0.21490902812182683,0.28348485478237895,-0.22046598762701025,0.0,COMPLETE,60
AVGO,1.2330914185847104,1.537919394033065,0.4158589692666679,0.8903640850453864,0.96,COMPLETE,60
BA,0.031744582702657835,-0.08582348289241133,0.2557789940064058,-0.38612978830674893,0.0,COMPLETE,60
BAC,0.37036550152897113,0.1385895987568788,0.28551841349254803,-0.2056160099822413,0.0,COMPLETE,60
BLK,0.31328197139302333,0.2817933970599205,0.34204095480919994,-0.18688243511866556,0.04,COMPLETE,60
BRK-B,0.617295880011101,0.6925384911136859,0.1747750670990432,0.428063757057158,0.08,COMPLETE,60
C,0.4863622272597657,0.37244002182554775,0.5505143885616917,-0.2585028265661282,0.2,COMPLETE,60
CAT,0.7601599575766483,0.6303027150211676,0.2877866312429735,0.2715242216366843,0.2,COMPLETE,60
CCI,-0.41504044007137675,-0.5462972064925318,0.11087720422537935,-0.8000173019076985,0.0,COMPLETE,60
CL,0.02303521146644738,0.1978913913053167,0.1837151988026162,-0.11132171916163594,0.0,COMPLETE,60
