Ticker,Market_Price,Intrinsic_Value_Base,Intrinsic_Value_Bull,Intrinsic_Value_Bear,Upside_Base_Pct,Upside_Bull_Pct,Upside_Bear_Pct,WACC_Used,FCF_Growth_Assumed,DCF_Score
AAPL,248.04,92.9,121.7,77.55,-62.55,-50.94,-68.74,9.5,1.53,0
MSFT,465.95,187.24,254.86,137.78,-59.81,-45.3,-70.43,9.5,6.28,0
NVDA,187.67,146.11,228.23,75.92,-22.15,21.61,-59.55,9.5,30.0,0
GOOGL,327.93,166.51,247.53,106.67,-49.22,-24.52,-67.47,9.0,14.16,0
AMZN,239.16,11.74,17.1,7.65,-95.09,-92.85,-96.8,10.0,6.12,0
META,658.76,687.14,1091.77,385.13,4.31,65.73,-41.54,9.0,22.99,8
TSLA,449.06,38.12,50.7,28.38,-91.51,-88.71,-93.68,10.0,7.3,0
JPM,297.72,-761.56,-1005.21,-672.94,-355.8,-437.64,-326.03,8.5,0,0
V,326.18,285.63,425.82,189.88,-12.43,30.55,-41.79,8.5,10.41,0
JNJ,220.14,114.59,152.3,102.69,-47.94,-30.82,-53.35,8.8,-0.43,0
UNH,356.26,250.32,351.88,206.0,-29.74,-1.23,-42.18,8.8,0.72,0
XOM,134.97,75.54,98.89,67.11,-44.03,-26.73,-50.28,9.2,0,0
CVX,166.72,398.43,637.01,200.64,138.98,282.08,20.34,9.2,30.0,30
PG,150.15,83.36,115.28,80.62,-44.48,-23.23,-46.31,8.2,-2.57,0
KO,72.88,5.95,9.11,11.27,-91.84,-87.5,-84.54,8.2,-10.0,0
WMT,117.73,37.8,47.73,54.53,-67.89,-59.46,-53.69,8.2,-10.0,0
HD,383.77,119.97,164.47,104.88,-68.74,-57.14,-72.67,10.0,-0.08,0
DIS,110.98,258.32,427.44,121.14,132.76,285.15,9.16,9.0,30.0,30
NFLX,86.12,32.47,42.76,28.74,-62.29,-50.35,-66.63,9.0,0,0
