Ticker,Current_PE,PE_Min_5Y,PE_25pct_5Y,PE_Median_5Y,PE_75pct_5Y,PE_Max_5Y,Current_PB,PB_Min_5Y,PB_25pct_5Y,PB_Median_5Y,PB_75pct_5Y,PB_Max_5Y,Position,Historical_Score
AAPL,33.2,12.06,15.38,19.37,29.01,37.96,50.29,3.62,5.18,5.78,10.99,48.14,Overvalued,0
MSFT,33.12,9.54,14.99,20.68,33.77,45.82,9.54,3.65,4.48,6.58,10.96,14.4,Above Median,8
NVDA,46.57,13.88,20.36,30.82,52.23,109.09,38.4,1.62,3.21,5.24,19.45,36.66,Above Median,8
GOOGL,32.37,19.22,23.19,26.23,30.71,78.16,10.24,3.23,4.05,4.55,6.46,12.16,Overvalued,0
AMZN,33.78,33.58,54.93,72.62,83.3,185.07,6.91,5.86,10.59,13.35,18.56,38.03,Deep Undervalued,25
META,29.15,13.94,23.79,31.69,70.34,91.7,8.54,2.57,5.76,6.72,7.85,40.62,Below Median,15
TSLA,236.35,30.64,47.09,116.83,182.98,188.69,18.12,6.49,11.36,12.77,28.79,34.53,Overvalued,0
JPM,14.88,7.13,10.07,11.26,12.83,19.69,2.29,0.66,0.99,1.26,1.5,2.48,Overvalued,0
V,31.95,19.35,25.18,31.17,37.38,85.55,16.55,1.84,4.16,6.7,11.58,17.49,Above Median,8
JNJ,19.8,11.3,17.69,18.47,22.0,28.16,6.74,2.99,3.74,4.44,5.89,6.55,Above Median,8
UNH,18.56,8.73,12.81,19.65,21.74,32.62,3.38,1.51,2.25,3.89,4.91,6.6,Below Median,15
XOM,19.62,8.32,10.65,12.16,15.48,48.01,2.24,1.12,1.86,2.32,2.75,4.25,Overvalued,0
CVX,23.48,6.3,9.43,11.08,14.57,77.59,1.58,1.1,1.53,1.64,1.74,2.56,Overvalued,0
PG,22.21,13.38,15.9,19.9,24.09,70.98,6.83,2.42,2.85,3.65,6.72,7.68,Above Median,8
KO,24.13,12.88,19.68,24.51,26.76,157.05,10.04,4.9,5.47,7.01,11.19,12.47,Below Median,15
WMT,41.16,12.51,14.65,16.98,28.81,42.08,9.77,2.66,2.99,3.3,4.45,8.67,Overvalued,0
HD,26.18,12.89,17.93,20.79,22.67,27.55,31.42,2.04,3.21,3.61,10.31,39.02,Overvalued,0
DIS,16.2,11.78,15.7,17.21,20.65,160.22,1.82,1.49,1.78,2.3,3.46,3.89,Below Median,15
NFLX,34.04,16.19,29.19,43.94,76.92,190.64,13.68,3.91,6.74,15.56,20.24,31.81,Below Median,15
