Ticker,Price,FCF_Per_Share,FCF_Yield_Pct,Book_Value_Per_Share,PB_Ratio,Peer_Median_PB,Safety_Score
AAPL,248.04,6.61,2.66,4.93,50.29,38.4,0
MSFT,465.95,10.5,2.25,48.85,9.54,38.4,8
NVDA,187.67,3.18,1.69,4.89,38.4,38.4,0
GOOGL,327.93,6.09,1.86,32.01,10.24,9.39,0
AMZN,239.16,0.99,0.41,34.63,6.91,18.12,8
META,658.76,17.82,2.7,77.1,8.54,9.39,0
TSLA,449.06,2.12,0.47,25.01,17.95,18.12,0
JPM,297.72,-42.94,-14.42,129.97,2.29,9.42,8
V,326.18,11.21,3.44,19.7,16.55,9.42,0
JNJ,220.14,7.85,3.57,32.64,6.74,5.06,0
UNH,356.26,19.13,5.37,116.53,3.06,5.06,12
XOM,134.97,5.49,4.07,61.93,2.18,1.91,0
CVX,166.72,8.41,5.05,108.57,1.54,1.91,4
PG,150.15,6.13,4.08,22.0,6.83,9.77,8
KO,72.88,1.29,1.78,7.73,9.43,9.77,0
WMT,117.73,4.07,3.46,12.05,9.77,9.77,0
HD,383.77,14.04,3.66,12.21,31.42,18.12,0
DIS,110.98,5.59,5.03,63.53,1.75,9.39,12
NFLX,86.12,2.24,2.6,6.29,13.68,9.39,0
