
Stage 2 深筛排名 | 395只通过
  # Symbol    S2    L4    L5  信
------------------------------
  1 ADBE     7.4   8.1   5.4  H
  2 PTC      6.9   7.5   7.5  H
  3 APP      6.9   6.7   8.2  H
  4 FTNT     6.8   8.1   6.3  H
  5 FICO     6.8   8.5   5.0  H
  6 CRM      6.8   7.2   6.1  H
  7 MA       6.6   8.2   7.1  H
  8 HUBS     6.5   6.7   6.7  H
  9 DPZ      6.5   7.0   6.3  H
 10 VRSN     6.5   7.9   5.0  H
 11 IDXX     6.4   8.2   5.5  H
 12 OKTA     6.4   7.0   5.6  H
 13 PGR      6.3   7.3   4.6  H
 14 NEM      6.3   5.9   7.6  H
 15 NFLX     6.3   7.3   5.2  H
 16 SPGI     6.2   8.2   5.6  H
 17 CDW      6.2   6.8   4.6  H
 18 MCO      6.1   7.7   6.0  H
 19 CTSH     6.1   6.7   4.9  H
 20 PYPL     6.1   6.8   4.9  H
 21 CMG      6.1   6.3   3.9  H
 22 NVDA     6.1   7.7   7.6  H
 23 BKNG     6.1   5.3   6.6  H
 24 PLTR     6.1   7.3   8.2  H
 25 AVGO     6.0   7.3   7.2  H
 26 MO       6.0   7.8   4.5  H
 27 CPRT     5.9   7.0   4.1  H
 28 MSFT     5.9   7.0   6.4  H
 29 NKE      5.9   6.2   5.6  H
 30 CI       5.9   5.8   5.2  H
 31 V        5.9   8.0   5.1  H
 32 ADP      5.9   7.7   3.2  H
 33 SMCI     5.9   6.3   5.7  H
 34 HPQ      5.8   5.5   5.0  H
 35 DELL     5.8   6.1   6.4  H
 36 LRCX     5.8   6.8   6.7  H
 37 AMZN     5.8   6.5   6.4  H
 38 UNH      5.8   6.9   3.4  H
 39 ROL      5.8   8.2   5.1  H
 40 ASML     5.7   7.8   5.0  H
 41 NTAP     5.7   5.7   5.4  H
 42 QCOM     5.7   5.1   5.0  H
 43 CSGP     5.6   6.5   5.2  H
 44 CMCSA    5.6   6.1   4.0  H
 45 CSCO     5.6   7.0   5.3  H
 46 TSM      5.6   7.1   6.7  H
 47 CTAS     5.6   7.6   5.5  H
 48 LDOS     5.6   6.6   5.1  H
 49 KLAC     5.6   7.4   5.1  H
 50 VRT      5.6   6.7   7.7  H
